id,image,icon,name,class,manufacturer,weapon,element,burst,squad
Ade,images/Ade.jpg,images/AdeIcon.jpg,Ade,Supporter,Tetra,Assault Rifle,Wind,2,Maid for You
Admi,images/Admi.jpg,images/AdmiIcon.jpg,Admi,Supporter,Missilis,Sniper Rifle,Wind,2,Triangle
Alice,images/Alice.jpg,images/AliceIcon.jpg,Alice,Attacker,Tetra,Sniper Rifle,Fire,3,Unlimited
Anchor,,,Anchor,Defender,Elysion,Rocket Launcher,Wind,1,Aegis
Anis,images/Anis.jpg,images/AnisIcon.jpg,Anis,Defender,Tetra,Rocket Launcher,Iron,2,Counters
Arcana,images/Arcana.jpg,images/ArcanaIcon.jpg,Arcana,Supporter,Elysion,Rocket Launcher,Electric,2,Best Seller
Aria,,,Aria,Attacker,Tetra,Machine Gun,Water,2,Prima Donna
Ark Ranger Black,,,Ark Ranger Black,Attacker,Tetra,Assault Rifle,Wind,3,Ark Rangers
Avistar,,,Avistar,Supporter,Elysion,Machine Gun,Electric,1,Overseer
Bay,images/Bay.jpg,images/BayIcon.jpg,Bay,Defender,Tetra,Rocket Launcher,Fire,2,Rewind
Belorta,,,Belorta,Attacker,Tetra,Rocket Launcher,Electric,2,The Carronades
Biscuit,,,Biscuit,Supporter,Tetra,Rocket Launcher,Electric,2,Happy Zoo
Blanc,,,Blanc,Defender,Tetra,Assault Rifle,Wind,2,777
Bready,,,Bready,Attacker,Tetra,Sniper Rifle,Water,3,Cooking Oil
Brid,images/Brid.jpg,images/BridIcon.jpg,Brid,Attacker,Elysion,Assault Rifle,Water,3,Infinity Rail
Centi,images/Centi.jpg,images/CentiIcon.jpg,Centi,Defender,Missilis,Rocket Launcher,Iron,2,Mighty Tools
Chime,,,Chime,Supporter,Pilgrim,Submachine Gun,Iron,2,White Knight
Cinderella,,,Cinderella,Defender,Pilgrim,Rocket Launcher,Electric,3,Old Tales
Clay,images/Clay.jpg,images/ClayIcon.jpg,Clay,Supporter,Tetra,Submachine Gun,Electric,2,Rewind
Cocoa,,,Cocoa,Supporter,Tetra,Sniper Rifle,Fire,1,Maid For You
Crow,images/Crow.jpg,images/CrowIcon.jpg,Crow,Defender,Missilis,Submachine Gun,Fire,3,Exotic
Crown,,,Crown,Defender,Pilgrim,Machine Gun,Iron,2,White Knight
Crust,,,Crust,Supporter,Tetra,Rocket Launcher,Water,2,Cooking Oil
D,,,D,Attacker,Elysion,Submachine Gun,Wind,3,Perilous Siege
Delta,,,Delta,Defender,Elysion,Sniper Rifle,Wind,2,The Scouts
Diesel,images/Diesel.jpg,images/DieselIcon.jpg,Diesel,Defender,Elysion,Machine Gun,Wind,2,Infinity Rail
Dolla,images/Dolla.jpg,images/DollaIcon.jpg,Dolla,Supporter,Tetra,Sniper Rifle,Wind,2,Talentum
Dorothy,images/Dorothy.jpg,images/DorothyIcon.jpg,Dorothy,Supporter,Pilgrim,Assault Rifle,Water,1,Inherit
Drake,images/Drake.jpg,images/DrakeIcon.jpg,Drake,Attacker,Missilis,Shotgun,Fire,3,Matis
E.H.,,,E.H.,Attacker,Elysion,Submachine Gun,Wind,3,Exotic
Ein,,,Ein,Attacker,Missilis,Sniper Rifle,Electric,3,School Circle
Elegg,images/Elegg.jpg,images/EleggIcon.jpg,Elegg,Supporter,Missilis,Machine Gun,Electric,2,Electric Shock
Emma,,,Emma,Supporter,Elysion,Machine Gun,Fire,1,Absolute
Epinel,,,Epinel,Attacker,Missilis,Submachine Gun,Wind,3,Nepenthe
Ether,,,Ether,Defender,Missilis,Shotgun,Electric,1,M.M.R.
Eunhwa,,,Eunhwa,Attacker,Elysion,Sniper Rifle,Fire,2,Absolute
Exia,,,Exia,Supporter,Tetra,Sniper Rifle,Electric,1,Protocol
Flora,,,Flora,Supporter,Missilis,Machine Gun,Electric,2,Botanic Garden
Folkwang,,,Folkwang,Defender,Tetra,Assault Rifle,Water,2,Nepeenthe
Frima,images/Frima.jpg,images/FrimaIcon.jpg,Frima,Supporter,Tetra,Sniper Rifle,Iron,1,Cafe Sweety
Grave,,,Grave,Supporter,Pilgrim,Assault Rifle,Fire,2,Old Tales
Guillotine,,,Guillotine,Attacker,Elysion,Machine Gun,Electric,3,Extrinsic
Guilty,images/Guilty.jpg,images/GuiltyIcon.jpg,Guilty,Attacker,Missilis,Shotgun,Wind,2,Real Kindness
Harran,,,Harran,Attacker,Pilgrim,Sniper Rifle,Electric,3,Inherit
Helm,,,Helm,Attacker,Elysion,Sniper Rifle,Water,3,Aegis
iDoll Flower,,,iDoll Flower,Defender,Tetra,Rocket Launcher,Wind,1,Replace
iDoll Ocean,,,iDoll Ocean,Supporter,Tetra,Submachine Gun,Water,1,Replace
